日期,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,成交金额1
2018/6/22,2889.7603,2891.9685,2837.1444,2855.5849,2875.8099,13.9504,0.4851,126143129,1.27E+11,30
2018/6/21,2875.8099,2940.5863,2872.6189,2912.0032,2915.7314,-39.9215,-1.3692,154378332,1.60E+11,29
2018/6/20,2915.7314,2925.5611,2872.1629,2889.984,2907.8221,7.9093,0.272,144301420,1.53E+11,28
2018/6/19,2907.8221,2984.9706,2871.3548,2982.6504,3021.9008,-114.0787,-3.7751,230550067,2.41E+11,27
2018/6/15,3021.9008,3048.7967,3008.7324,3037.4522,3044.1597,-22.2589,-0.7312,144532571,1.62E+11,26
2018/6/14,3044.1597,3066.0469,3032.4062,3038.0704,3049.7965,-5.6368,-0.1848,115469487,1.48E+11,25
2018/6/13,3049.7965,3071.4636,3044.1198,3071.4636,3079.8018,-30.0053,-0.9743,119607886,1.56E+11,24
2018/6/12,3079.8018,3081.4473,3034.1012,3053.0279,3052.7831,27.0187,0.8851,113275096,1.54E+11,23
2018/6/11,3052.7831,3063.6102,3037.9138,3057.3393,3067.1478,-14.3647,-0.4683,108563786,1.43E+11,22
2018/6/8,3067.1478,3100.6848,3053.2879,3100.6038,3109.4988,-42.351,-1.362,134688220,1.61E+11,21
2018/6/7,3109.4988,3128.7154,3105.5779,3121.1842,3115.1803,-5.6815,-0.1824,127784970,1.67E+11,20
2018/6/6,3115.1803,3117.5251,3103.5329,3109.1746,3114.2055,0.9748,0.0313,120196135,1.63E+11,19
2018/6/5,3114.2055,3114.7687,3080.0457,3088.0076,3091.1909,23.0146,0.7445,118735592,1.65E+11,18
2018/6/4,3091.1909,3098.402,3076.9936,3083.4265,3075.1372,16.0537,0.522,114593902,1.55E+11,17
2018/6/1,3075.1372,3102.088,3059.7857,3084.7536,3095.4737,-20.3365,-0.657,129872199,1.67E+11,16
2018/5/31,3095.4737,3098.0764,3054.2685,3061.8291,3041.4434,54.0303,1.7765,140475532,1.85E+11,15
2018/5/30,3041.4434,3085.397,3041.0002,3081.1418,3120.4605,-79.0171,-2.5322,155115126,1.92E+11,14
2018/5/29,3120.4605,3143.2076,3112.1531,3129.621,3135.0821,-14.6216,-0.4664,135717800,1.78E+11,13
2018/5/28,3135.0821,3149.6646,3115.9585,3136.8092,3141.3032,-6.2211,-0.198,128755918,1.68E+11,12
2018/5/25,3141.3032,3156.7261,3131.0675,3148.41,3154.6506,-13.3474,-0.4231,128610843,1.67E+11,
2018/5/24,3154.6506,3173.5309,3152.0692,3167.9391,3168.9642,-14.3136,-0.4517,124085800,1.61E+11,
2018/5/23,3168.9642,3205.437,3168.9642,3205.437,3214.3497,-45.3855,-1.412,157807648,1.99E+11,
2018/5/22,3214.3497,3214.5888,3192.2277,3211.247,3213.8404,0.5093,0.0158,144292684,1.86E+11,
2018/5/21,3213.8404,3219.7398,3203.3362,3206.1756,3193.3034,20.537,0.6431,164459413,2.03E+11,
2018/5/18,3193.3034,3193.4531,3144.776,3151.0818,3154.2825,39.0209,1.2371,136516918,1.68E+11,
2018/5/17,3154.2825,3172.7664,3148.6213,3170.0064,3169.5652,-15.2827,-0.4822,113995567,1.51E+11,
2018/5/16,3169.5652,3191.9481,3166.8113,3180.2259,3192.1183,-22.5531,-0.7065,130524968,1.75E+11,
2018/5/15,3192.1183,3192.8069,3164.5181,3180.4245,3174.032,18.0863,0.5698,124549051,1.63E+11,
2018/5/14,3174.032,3183.8159,3163.476,3167.0418,3163.2632,10.7688,0.3404,129327353,1.72E+11,
2018/5/11,3163.2632,3180.7564,3162.2121,3179.7967,3174.4127,-11.1495,-0.3512,130659749,1.67E+11,
2018/5/10,3174.4127,3176.1376,3155.5331,3169.0498,3159.1502,15.2625,0.4831,133000756,1.65E+11,
2018/5/9,3159.1502,3165.3733,3145.6574,3160.1382,3161.4976,-2.3474,-0.0742,122637268,1.53E+11,
2018/5/8,3161.4976,3169.7014,3134.0621,3135.2957,3136.6448,24.8528,0.7923,146927061,1.89E+11,
2018/5/7,3136.6448,3136.8363,3091.6579,3094.8989,3091.0334,45.6114,1.4756,138948186,1.78E+11,
2018/5/4,3091.0334,3104.0925,3086.7845,3093.1169,3100.8586,-9.8252,-0.3169,118711265,1.48E+11,
2018/5/3,3100.8586,3105.6598,3056.1573,3074.5165,3081.1773,19.6813,0.6388,139985620,1.73E+11,
2018/5/2,3081.1773,3097.6039,3064.763,3087.4086,3082.2316,-1.0543,-0.0342,134184566,1.68E+11,
2018/4/27,3082.2316,3088.0347,3049.9139,3082.4148,3075.0301,7.2015,0.2342,131225643,1.80E+11,
2018/4/26,3075.0301,3121.9334,3067.9286,3119.4962,3117.9739,-42.9438,-1.3773,133972736,1.64E+11,
2018/4/25,3117.9739,3122.9082,3107.0008,3112.3978,3128.9271,-10.9532,-0.3501,127311053,1.61E+11,
2018/4/24,3128.9271,3136.0395,3069.7455,3069.7455,3068.012,60.9151,1.9855,162274806,1.96E+11,
2018/4/23,3068.012,3085.0573,3045.9369,3063.4427,3071.5425,-3.5305,-0.1149,131686340,1.58E+11,
2018/4/20,3071.5425,3111.1707,3065.9214,3105.4617,3117.376,-45.8335,-1.4703,155147091,1.85E+11,
2018/4/19,3117.376,3127.4389,3090.2867,3094.2738,3091.3987,25.9773,0.8403,160056805,1.96E+11,
2018/4/18,3091.3987,3096.889,3041.625,3091.9095,3066.7967,24.602,0.8022,159290503,2.02E+11,
2018/4/17,3066.7967,3118.7596,3064.0281,3112.9747,3110.6489,-43.8522,-1.4097,147222846,1.85E+11,
2018/4/16,3110.6489,3153.1063,3096.1003,3152.8882,3159.0521,-48.4032,-1.5322,154415695,1.92E+11,
2018/4/13,3159.0521,3197.8959,3155.5058,3192.0418,3180.1583,-21.1062,-0.6637,127552310,1.64E+11,
2018/4/12,3180.1583,3205.2522,3177.0492,3203.2782,3208.0818,-27.9235,-0.8704,148231313,1.85E+11,
2018/4/11,3208.0818,3220.8453,3191.5865,3197.3719,3190.3216,17.7602,0.5567,175867197,2.11E+11,
2018/4/10,3190.3216,3190.6492,3139.0807,3144.2568,3138.2936,52.028,1.6578,168201359,2.06E+11,
2018/4/9,3138.2936,3146.0926,3110.3025,3125.4415,3131.1114,7.1822,0.2294,139608621,1.77E+11,
2018/4/4,3131.1114,3163.3404,3128.8668,3147.0491,3136.6332,-5.5218,-0.176,146976682,1.93E+11,
2018/4/3,3136.6332,3144.3321,3119.1321,3130.013,3163.179,-26.5458,-0.8392,152216674,1.90E+11,
2018/4/2,3163.179,3192.3403,3159.986,3169.7787,3168.8966,-5.7176,-0.1804,177727777,2.26E+11,
2018/3/30,3168.8966,3177.7208,3152.8888,3161.7856,3160.5306,8.366,0.2647,154646596,1.96E+11,
2018/3/29,3160.5306,3174.5089,3098.2465,3127.2628,3122.2895,38.2411,1.2248,170312384,2.11E+11,
2018/3/28,3122.2895,3165.2126,3117.5336,3130.5711,3166.6488,-44.3593,-1.4008,163500488,2.09E+11,
